,YWHAB,YWHAE,YWHAZ,EIF4EBP1,TP53BP1,ARAF,ACACA,ACACA ACACB,ACVRL1,PRKAA1,AR,DIRAS3,ASNS,ATM,TUBA1B,AKT1 AKT2 AKT3,ANXA1,ANXA7,BRAF,BAD,BAK1,BAP1,BAX,BCL2,BCL2L1,BECN1,BID,BCL2L11,RAF1,MS4A1,PECAM1,ITGA2,CDK1,CASP7,CASP8,CAV1,CHEK1,CHEK2,CLDN7,COL6A1,CCNB1,CCND1,CCNE1,CCNE2,PARK7,DVL3,CDH1,EGFR,ESR1,ERCC1,MAPK1,ETS1,FASN,FOXO3,FN1,FOXM1,G6PD,GAB2,GAPDH,GATA3,GSK3A GSK3B,ERBB2,ERBB3,HSPA1A,NRG1,IGFBP2,INPP4B,IRS1,MAPK9,MAPK8,XRCC5,STK11,LCK,MAPK1 MAPK3,MAP2K1,ERRFI1,MSH2,MSH6,MYH11,MRE11A,MYH9,CDH2,NRAS,NDRG1,NFKB1,NF2,NOTCH1,CDH3,SERPINE1,PARP1,PCNA,PDCD4,PDK1,PEA15,PIK3CA ,PIK3R1 PIK3R2,PRKCA ,PRKCD,PRKCB,PGR,AKT1S1,PRDX1,PREX1,PTEN,PXN,RBM15,RAB11A RAB11B,RAB25,RAD50,RAD51,RPTOR,RB1,RICTOR,RPS6,SCD,SETD2,SRSF1,STAT3,STAT5A,SHC1,DIABLO,SMAD1,SMAD3,SMAD4,SNAI1,SRC,STMN1,SYK,WWTR1,TFRC,TIGAR,TSC1,NKX2-1,TGM2,TSC2,KDR,VHL,XBP1,XRCC1,YAP1,YBX1,CTNNB1,JUN,KIT,MET,MYC,BIRC2 ,EEF2,EEF2K,EIF4E,MTOR,CDKN1A,CDKN1B,MAPK14,TP53,SQSTM1,RPS6KB1,RPS6KA1
TCGA-05-4384-01,-0.057270938,0.052141877,-0.070325679,-0.705119828,0.157127352,-0.17981693699999998,-0.115009126,0.08690868800000001,0.050662108,0.14934615699999998,0.119555181,-0.181560534,-1.542220362,0.188213521,0.8585906529999999,0.321275058,-0.644270004,0.207428061,0.133406995,0.230457778,-0.025966121,0.07041567900000001,-0.503894195,-0.107595114,-0.132638005,-0.009258744,-0.218752551,-0.239161724,-0.224944064,-0.339019781,0.13034628,-0.381544049,-0.087676343,-0.464243361,-0.272968315,1.937700682,-0.439101684,-0.290551016,2.387682496,0.126565313,-1.154718582,-0.291991485,-0.394759765,-0.132512417,0.17659212100000002,-0.154181076,0.7638892490000001,-0.258307831,-0.231633785,-0.187502539,0.120312882,-0.08934924300000001,1.982130267,0.008886518000000001,-0.5937371770000001,-0.589864727,2.372560815,0.069315929,0.898100061,0.013931953,0.217096753,0.397517182,0.929082709,-0.694204735,0.04613733,0.560760472,0.739223645,-0.294763903,0.049117223,0.40584316,0.331256005,-0.152304266,-0.160261804,0.99102766,-8.48e-05,-0.06488390000000001,-0.13609975300000002,-0.33204124,1.449626809,-0.123145107,0.7297464029999999,-0.342176145,0.057262087,0.983682568,0.722778928,0.16910355600000002,-0.001953,-0.325240929,-1.567708893,-0.336843565,-0.155592989,0.858589031,0.150957383,-0.237857542,0.132745137,-0.062640375,0.183571776,-0.051900675,0.95780898,0.034311516,0.074834786,0.165428648,-0.130594367,0.402561484,0.12541197699999998,0.383555368,-0.009258744,0.585912013,0.044314838,-0.228548803,-0.08315214,-0.38424274,0.8478544370000001,0.114615503,-0.017748996,-0.209471433,-0.073238267,0.663321566,-0.271333958,0.5235095329999999,-0.028881326,-0.139992067,-0.072783554,0.178312627,-0.407553602,-0.269148525,-0.270271439,0.353015381,-0.181501791,-1.041062888,-0.107804331,0.734322787,1.303827292,1.737892803,0.195811086,0.255094552,1.027266621,-0.183669679,-0.051492223,0.108734042,-1.181791115,1.126702259,0.395256373,2.526008453,-0.338326041,-0.188322758,0.067936549,-0.169537381,-0.1750926,0.30534867600000004,0.287037465,-0.336153224,0.14398761699999998,-0.06982611799999999,-0.266709333,-0.571455516,-0.210269666,0.2286624
TCGA-05-4396-01,-0.134275794,-0.040391809,0.04795808,-0.366418245,1.214211135,-0.51784064,-0.047789446,-0.014429444,-0.166495794,0.9637946,0.256715448,-0.122321091,0.011449881,0.827383393,1.842985507,0.543185346,-1.487322167,0.017453629,0.6474240960000001,0.280355829,-0.16381279599999998,0.395932324,-0.672362472,-0.6247419439999999,0.08311273200000001,0.13864249,-0.014155309,0.258601389,-0.139300433,-0.15426430300000002,-0.348061285,-0.129461731,-0.252538253,-0.321975772,-0.128542651,-0.20365020600000006,-0.13076865599999998,0.029187597000000006,3.568312925,-0.304332843,-0.681533759,0.084558626,-0.325502024,-0.111010144,0.094731628,0.221373205,1.255692073,0.054215832,-0.460955745,-0.037182687,-0.12574217699999998,0.021300695,-0.100114397,-0.175383178,-1.3927057040000002,-0.13338388,-0.3971213,0.217429503,-0.135405149,-0.218432219,0.275701135,0.711751382,1.400401408,-1.157019869,0.20192815600000005,2.385122652,0.54255447,-0.034269373,0.6466538829999999,-0.098669498,0.523819491,-0.140888103,-0.227646277,0.087505217,0.230669865,-0.011298649,0.099209316,0.086111182,0.753838656,-0.20893419,-0.1276698,-0.37091615,-0.092004447,2.01504838,1.414551874,0.048705993,-0.085088085,0.407905909,-1.285943105,0.029024518,-0.003966114000000001,1.278448073,-0.15346000699999998,-0.31556828800000003,0.07313921,-0.593788114,-0.464827831,-0.072037586,-0.007944505,-0.105748437,-0.01948481,-0.321504306,-0.271600652,0.679009703,-0.375343944,0.268505234,0.003966114000000001,1.035312057,0.17857829100000006,-0.17564733,-0.606079585,-0.115982821,0.8680914470000001,-0.110879832,0.18767025,-0.131667794,0.188966341,0.30471134,-0.035467505,0.058317096,0.867346567,0.141736235,-0.08333726,0.092317488,-0.203682968,0.161865629,-0.383078213,0.252862455,-0.27978230600000004,0.429555509,0.758542197,0.248303186,0.8470432609999999,0.008003348,0.190701458,1.14972394,0.5567663939999999,-0.161876021,-0.172253845,0.139900157,0.805574536,1.194293631,-0.19578522,1.976799706,0.102231629,-0.291773502,0.8594810559999999,-0.167084573,0.176774343,0.592292037,0.499944588,-0.214804707,0.193968936,0.114030015,-0.104420184,0.234234445,-0.107008241,-0.042038593
TCGA-05-4405-01,-0.321124135,-0.187647961,-0.446612793,-0.46088776,0.7526609959999999,0.003071719,-0.034823094,-0.011145931,-0.267445772,-0.055964692,-0.195221149,-0.117249147,-0.339055733,-0.101478809,0.185122168,0.191095721,0.915210728,-0.140558712,0.097326171,0.261734848,-0.176303696,0.165369366,0.00361597,0.205068924,-0.306306322,-0.17608611,-0.17639152600000002,-0.048552832,-0.046619373,-0.421078455,-0.30268037600000003,0.539519219,-0.19357784100000006,-0.815834238,3.599150075,-0.582592914,-0.260645144,1.2366517540000002,-0.025347236,0.004140097,-0.414976615,-0.144605042,-0.038399685,-0.25259707600000003,-0.247630736,0.5222560479999999,-0.061005725,0.437559297,-0.437201117,2.509564742,0.282023449,-0.320186055,-0.5377424820000001,-0.119713473,-0.31504406100000004,-0.33573762,-0.454155279,0.231696829,-0.550068665,-0.347460796,-0.030456455,0.092677919,0.133506903,-0.461567453,-0.280098455,-0.909561029,-0.491430244,0.043494008,-0.023308445,-0.023919738,0.343732391,-0.204750913,-0.13513466300000002,1.032339167,-0.003071719,0.057201953,-0.099075641,-0.085184589,-0.73466135,-0.193813905,0.582733853,-0.24620443600000005,-0.290431076,1.094374302,0.608608458,0.16845058899999998,0.167053173,-0.295886659,-1.57836753,4.655645844,-0.148506582,-0.0047771,-0.238087774,-0.035827518,-0.095326709,0.06503089299999999,0.63639877,0.07733910000000001,0.886490013,-0.097644283,0.308329019,-0.54557587,0.124537123,0.352693398,0.36744417,0.114387514,-0.139727573,0.629049049,-0.093710983,-0.193224711,-0.023971885,1.769807796,0.119072489,-0.31306232100000003,0.167609932,1.225238585,-0.194117859,0.280619749,0.079043775,-0.101440497,1.307248105,-0.120513929,0.007255266999999998,-0.166222751,4.478272031,-0.228073124,-0.288011328,0.90314546,-0.184716098,-0.7872223759999999,-0.211817959,0.228177588,1.342007273,0.169211439,0.373071318,0.374535419,0.512460594,-0.331158915,-0.041292536,0.296450156,0.186292184,0.199453163,0.480720743,-0.597297332,4.03473356,-0.479750308,0.033951055,0.246587396,0.783383872,0.076756272,0.207703936,0.266854923,-0.030739768,0.403380924,1.541249759,0.205578719,0.039584124,0.25865761
TCGA-05-4417-01,-0.055667662,0.049032187000000005,0.108900894,0.361013407,-0.0441062,-0.173211718,0.792457291,0.255575428,-0.168145602,0.217876394,-0.113617987,-0.027265847000000003,0.217444494,-0.12751140800000002,0.809556532,0.018092416,-0.706431875,0.067137826,0.134730836,0.038504293,0.039940872,-0.001215172,0.017202082,0.14631877599999998,0.007211082,0.17065931899999998,-0.055667662,0.148365495,0.07950346700000001,-0.14284174,-0.038540238,-0.068011408,-0.037516206,1.283999408,0.415253407,-1.3758203569999998,-0.144709223,0.24210363,0.383333041,-0.08038532400000001,0.426903627,-0.031183441,-0.080620988,-0.035241564,-0.445686584,-0.031833522,0.664547796,0.243209842,0.68411958,0.029711023,0.024197681,-0.135174121,0.112995803,0.027889637,-0.458673843,0.10306158,-0.28920909,0.980563731,0.44326938,-0.155662436,0.212777741,-0.439408996,0.257292572,-0.175157073,-0.097887762,1.030563978,0.747369596,-0.092547774,0.024776927,-0.065544423,0.258728397,-0.085250585,0.227346254,0.289451,-0.055667662,-0.041722086,0.281241637,-0.014072599,-2.508304492,-0.086981108,0.57090652,-0.093805635,-0.035642934,-0.682771604,-0.009670884,-0.055667662,0.177264592,0.062488191,-1.106948068,0.443906941,0.34820238200000003,0.071684019,-0.023001308,-0.16945428699999998,0.001922618,-0.02655104,0.141866789,-0.009210945,-0.055667662,0.114941263,-0.150558785,-0.5530427179999999,0.140913581,-0.000104596,-0.227011287,0.15191845,-0.103088492,0.384424424,0.04555275,-0.06578817599999999,-0.122548824,-0.046295275,-0.563578599,0.125336094,0.074388165,1.186549463,0.122272416,0.2110347,0.065628033,-0.009638185,0.502442983,0.055676147,-0.15851055,-0.027047259,0.373321658,-0.14079899199999998,-0.049983112,0.26569781800000003,-0.200674704,-0.085091212,0.574967359,0.394290281,1.0001203790000002,0.256788737,0.316496795,-0.68577695,1.821308019,-0.027599478,0.07735766,-0.321818855,-0.474421341,0.816098043,0.051587144,1.5645910019999998,0.207317222,-0.289669335,-0.055667662,0.38389578,-0.055667662,-0.005588126999999999,-0.013683929,0.183879965,-0.088097195,-0.204220511,-0.162387822,0.370262588,0.148734105,-0.042956916
TCGA-05-4427-01,-0.201383446,0.076725118,0.42984208,0.240691881,1.056611964,0.097437664,0.88408205,0.47052241,-0.2439921,-0.217505109,-0.318748385,-0.096361726,0.47094925,-1.057167978,-0.005636356,-0.182444307,1.853199992,-0.151152474,0.455214308,0.019098329,-0.058554565,0.419038269,0.135559294,-0.294805734,0.064071432,-0.24163468,-0.099664556,0.09006792300000001,0.250441339,-0.110503677,-0.34366229299999995,0.009924617,-0.207611448,0.115566789,0.563918347,-1.848753343,-0.18647964,1.107363592,1.534907204,-0.093401521,1.198470632,-0.197971941,2.909785883,-0.095560076,0.25922568100000004,0.293952887,0.564051925,0.012367978,0.639644475,0.062233782,-0.129553781,-0.408391867,0.31647910100000004,0.028216756000000006,-0.121459528,0.483735604,-0.41526196,-0.087119227,-0.320028229,-0.026999429,0.213707054,0.291371451,-0.101207897,-0.8831368959999999,-0.220564929,-0.88426102,0.670846747,-0.19998079,-0.115870678,-0.229566457,0.249095523,0.098647071,-0.043977345,-0.474934648,0.232689564,0.938056458,0.251794369,0.30707401300000003,-3.926474751,-0.096743107,0.722804765,-0.114788186,-0.179147878,-0.385887821,0.48051695,0.028106697000000003,-0.228472151,-0.26712315600000003,0.215554115,0.65782349,0.327769555,-0.919126625,-0.119190753,0.006247491,0.040275764,-0.039560213,-0.167026636,0.015239204,-0.202833144,0.0511186,-0.098818868,-0.390232869,-0.008295259000000001,-0.120592534,-0.374325609,0.302720429,0.222612074,0.972732487,-0.212485684,-0.130466796,0.243363043,0.391375351,-0.967440298,0.014422106,-0.083221091,0.900318304,0.071488683,-0.266553415,-0.000588606,0.116549457,1.130183875,0.44316812,0.02806198,0.000588606,0.563472627,0.245209943,0.5006174489999999,0.972735526,-0.203180985,0.687886388,-0.127526583,-0.085171043,1.737864087,-0.310409443,0.384821873,0.79406535,2.784567294,-0.227317286,0.238510586,-0.32978712600000004,-0.388265004,0.520701262,0.097000671,-0.705376852,0.747221134,-0.463890016,0.365014403,0.19752953,-0.21058910600000005,0.506069205,0.243685845,0.416514319,0.270680817,0.4278848870000001,1.5878932019999998,0.399818914,0.888680678,-0.021769544
TCGA-05-5420-01,0.058143168,-0.137733482,-0.791576243,-0.672605915,-0.438847766,-0.418568559,0.416289871,0.347254945,-0.13351281,0.114952103,0.246118383,0.053526705999999986,-0.08698143,0.720182,-0.216841642,0.041717347,-0.330086987,-0.215204021,-0.160514945,-0.25440498100000003,0.059803583,-0.41159713,-0.142949607,0.17972685600000002,-0.120880077,-0.105601991,0.315321776,-0.277699374,0.196036503,0.094046987,0.035617702,-0.546090513,0.039588504,0.5090520629999999,2.097499957,1.5245912030000002,0.223345673,-0.223362828,-0.494171461,0.077490263,-0.715011258,0.144272817,-0.266426693,-0.25771534100000004,-0.240244431,-0.306449755,-1.07368609,0.120162037,0.435831083,1.137441281,-0.109161388,-0.101008443,0.753531418,0.100052739,-0.386830565,-0.24609245,-0.46687292,0.55101143,-1.496010139,-0.183026609,-0.235259209,-0.36101467,-0.195980478,1.672044502,-0.051687572,-0.667552641,-0.456572088,0.204824293,-0.251120027,0.141525045,-0.34306220299999995,-0.17951321399999998,0.17669862100000006,0.608444145,-0.205762876,-0.505664997,-0.549240884,-0.620821784,1.391184891,0.32509224600000003,-1.737109208,0.470590984,0.002037477,-0.31874488100000004,-0.061384208,-0.166981771,0.419482685,-0.062872546,-0.33779384100000004,2.802369074,-0.450830338,0.05697243,-0.244724201,-0.31233026,-0.045068205,0.16228278699999998,0.009074189,-0.07045049099999999,0.395343813,0.158938307,0.015089561,-0.404732298,0.192278782,0.16371707300000002,-0.337329304,-0.248535509,0.092105201,-0.632070617,0.067684041,-0.085597681,0.12749648800000002,0.85565527,1.299466645,-0.266710081,-0.028292085,0.172776768,-0.08696827900000001,-0.089012906,0.317987505,-0.115867247,0.27510349,-0.130047351,-0.242422459,-0.14085513300000002,2.550486402,0.065367278,-0.047367489000000006,0.199600365,0.054209332,0.634753232,-0.06029638900000001,0.255549805,-0.69793843,1.05054999,-0.168289859,-0.6073922939999999,0.628250031,0.031238559,-0.069127806,-0.464147119,0.305370349,-0.194844685,-0.245754424,0.043452752,2.310923922,0.056259688,-0.219909484,-0.021720471,-0.102719481,-0.176138745,0.068755023,-0.460192638,0.038651697,-0.090737739,0.080767349,-0.018218994,-0.233719411,0.017066655
TCGA-05-5423-01,0.128967114,0.052883819000000006,-0.235719807,-0.6430878529999999,0.21376565600000005,1.305236967,0.708407833,0.768019668,0.112713054,0.269983642,-0.074493755,0.093096449,0.03746766,0.516659324,0.111427751,0.553522346,0.437225701,-0.242481155,0.782179767,-0.127631196,-0.167118703,-0.198879004,-0.181945777,-0.193919251,0.110819248,-0.0052843690000000006,-0.045089205,-0.6929526159999999,0.32879952100000004,-0.108960965,-0.148388949,0.112250908,-0.079014342,0.606043737,0.21472276,0.928607422,-0.401857103,-0.15093437199999998,0.642308552,-0.49059484,-0.249097601,0.007654460999999999,-0.183005153,-0.241983162,0.151103625,-0.249096246,0.438379155,0.66294878,1.681616629,-0.117612059,0.7236547609999999,-0.463931491,-0.149234169,0.080848147,-0.17516842100000002,-0.171934394,-0.6253600429999999,0.41483288,-0.628062594,-0.180297666,0.136410779,0.170212506,0.552839395,-0.254472077,-0.154421419,-0.492885248,-0.505863971,-0.243663956,0.477666255,-0.231668189,-0.05652577,0.010003326,-0.216528996,-0.35319257,0.074800513,-0.253129831,0.470917044,0.055852281,-0.453865585,-0.296375952,-0.146656116,-0.303479972,-0.020404686,-0.201922136,0.480779933,0.447262628,-0.238222803,-0.213245711,-1.210365241,0.59429526,-0.399773123,-0.630739553,0.059392131,-0.204011586,0.227045549,0.183577673,0.154143791,-0.046495648,0.7465173429999999,0.54002495,-0.27690063800000003,-0.567480598,0.164937923,0.62229205,-0.501262,0.521182267,-0.23726933,0.464450917,0.167692024,-0.297864809,0.15273115,-0.200434689,0.504228855,-0.28535578100000003,-0.002331206,-0.046809958,-0.071517917,0.460054938,0.52565202,0.141040801,0.440810197,-0.077865135,-0.313762068,-0.121597136,0.373215897,-0.148471383,-0.590675281,1.084198121,-0.468422156,0.67792989,-0.271271544,0.5667124579999999,1.262032907,0.569921735,0.7900454579999999,0.150247469,-0.093946771,-0.024301315,-0.103761442,-0.236814899,-0.446181921,0.944886377,-0.143010076,-0.013801477,0.31752636100000003,-0.140756946,0.07637743599999999,-0.053934723,0.655266711,-0.266341798,0.7986471070000001,-0.8302202959999999,-0.095269041,0.4209450870000001,0.25507677100000004,0.685898655,-0.064508682,1.174369557
TCGA-05-5425-01,0.21471891,0.14592023699999998,0.076369767,-0.232109863,-0.585273325,-0.04409004,0.622425691,0.35433359600000003,0.17429082699999998,0.027669872,0.075820956,0.1307749,-0.11854152,0.403739286,0.039423134,-0.52460304,-0.03600074,0.112426839,-0.17558603600000006,-0.36907918,-0.10635279,-0.030604511,0.227053706,0.041271219,0.205702277,-0.162804636,-0.007789852,0.441131772,-0.110902739,0.076894981,0.766694911,-0.178611779,0.070733445,2.229281946,-0.230844847,1.063056254,0.291845781,-0.235044912,1.010226763,-0.036546281,0.177382355,-0.040371236,0.07123143400000001,-0.165625074,0.090389313,-0.162576651,-0.449057571,-0.074677283,0.040033309,-0.203527249,-0.767298343,-0.050148677,0.602406427,0.047450636,-0.653954712,-0.063331735,-0.197178215,-0.076615358,-0.847736157,-0.114500406,0.052328738,-0.701072241,-0.139356173,-0.17316715800000002,0.28576908300000003,-0.535889824,-0.55386192,-0.045871405,-0.04467829,-0.038114092,-0.433230696,-0.156456307,-0.100162589,0.168766036,-0.00948886,-0.294218904,-0.227321964,-0.4295836870000001,1.474510969,0.101779246,-0.34461902200000005,0.140771095,0.162296157,0.305441236,-0.839974714,-0.013310497,0.144188305,0.352048697,-0.077879326,-0.202982788,-0.021145006,-0.2581755,0.243378158,-0.17316715800000002,-0.100706894,0.188970403,-0.246008447,-0.177369904,-0.548720611,0.144660507,-0.15089392599999998,0.108104339,0.529289949,0.200525458,-0.451085398,-0.219974737,0.072316687,0.401393382,-0.353391684,0.01540873,-0.33089270000000004,-0.337847058,0.774927647,0.13453385,0.058418223,-0.285655531,0.080913735,0.276080158,-0.085541743,0.044580117,0.341382054,-0.11458262,0.010836857,0.131815312,-0.322554624,0.246673595,-0.048347496,-0.002522871,-0.064833486,-0.817465315,0.311380025,-0.048004164,-0.139268155,0.777434747,-0.254946579,-0.482046869,0.348501239,-0.137630858,0.312646134,0.019228898,-0.094489337,-0.324519948,-0.160483927,0.7418002090000001,-0.278883173,-0.278599449,0.04875085,0.004602298,-0.541807794,0.05678706,-0.00864957,-0.405523574,0.192525024,0.302017447,-0.356288439,0.424464224,-0.173585965,0.026019869
TCGA-05-5429-01,-0.080923342,-0.050330353,-0.138242593,-0.33365847,0.064545194,-0.29153333,0.2198587,0.380862159,0.278306885,0.3968063670000001,-0.042981709000000014,0.088632066,0.085438418,-0.114272062,1.067768886,0.34314400799999994,0.201689642,-0.208753165,-0.315443559,-0.122529987,0.148828193,-0.126496812,0.625543031,-0.099039952,0.41519102,0.208209567,0.031644797999999995,-0.488937351,-0.167108749,0.017949126,-0.450376899,0.955068149,-0.020579858,-0.29653445,0.422531239,0.426554673,-0.03792641,-0.08084235,2.367315111,-0.143665407,0.094568351,-0.034239687000000005,-0.044295660999999986,-0.002509122,-0.271207299,-0.006479774000000001,1.388146176,-0.116482151,-0.207756276,-0.277575588,0.262429099,-0.16830960399999995,0.3890857170000001,0.180541519,-0.083175628,-0.053785811,-0.662456803,0.308056185,0.218232041,0.109100157,0.46421175,0.297861962,0.180604697,0.552164828,-0.13256901,0.527246931,2.17514957,0.14947882,-0.013280782,0.006058076,0.193160436,-0.06778010400000001,-0.266311754,-0.17167083100000002,0.030080098,-0.335169087,-0.094342323,-0.18646685,1.400978886,-0.027811894,-0.3678553120000001,-0.182021636,-0.064322055,-0.575289187,0.6462286,0.151327239,-0.111837951,0.101911448,0.019858986,-0.261425669,0.072905119,-0.526890953,-0.192509892,-0.279181688,0.235788136,0.426630432,0.603230316,0.100407857,0.50818973,-0.115949214,-0.216292013,-0.3864727220000001,-0.37290714,0.204301398,-0.7122088409999999,0.383446595,0.15668173400000002,1.213857586,0.087443243,-0.048480521,-0.117601444,0.143250577,1.183747643,0.14327148,-0.17724471100000005,-0.330329247,-0.075620942,0.017601309,0.656966788,0.556774408,0.016629365,0.13752799,0.220039558,-0.005122079,-0.15107514,0.78104868,-0.15649453800000002,0.336773592,-0.203010202,1.23790972,0.16595891,0.6588661720000001,-4.197199385,-0.01481602,0.155581464,1.920119631,2.10219202,-0.046883875,-0.0056773990000000005,-0.058294621,0.372322801,1.275424139,0.162498175,-0.33107299100000004,-0.214744097,0.056779608,0.340851031,0.171978853,0.255673196,-0.047109335,0.048057081,0.113318133,-0.241437251,0.07550140400000001,-0.795029001,-0.319230648,0.147544624,0.187139694
TCGA-05-5715-01,0.136075439,0.17036404600000002,0.616043761,1.31761742,0.745631728,-0.313982131,-0.435161268,-0.362896936,0.147061239,-0.441487689,-0.324836339,-0.093818133,0.983221305,0.022626208,0.24523968,0.20759664,0.400537695,0.388215884,0.192719342,-0.454579853,0.067439029,0.426022745,-0.013275778,-0.121782573,0.07202800200000001,-0.010002264,0.084689982,-0.079013978,0.252087608,0.027510614,-0.342003524,1.65517272,-0.060127383,-0.464477248,0.002220134,2.718200271,-0.158322467,0.223734629,-1.367562445,-0.104207438,1.715892232,-0.028627699,-0.025227,0.377099187,-0.163749279,0.038031069,-3.665669872,0.316666129,-0.437526941,-0.030948528,0.16080751,0.384642226,0.091307134,0.07323637599999999,0.798776525,1.583369204,-0.069977697,-0.08633929800000001,3.1135062,-0.087432315,0.166766684,-0.62686957,-0.846256938,-1.009319656,0.378619201,-0.838633845,-1.121924467,0.381245349,0.097007653,-0.231619429,0.442363814,0.08897873199999999,-0.536855244,-0.767074267,-0.223877897,1.474006584,0.907631116,0.802906309,-2.629979203,-0.018861512,0.687860178,-0.15064556699999998,0.06762028,-1.50671664,-0.376267324,1.6535577069999998,-0.063652792,0.236752756,2.69481849,-0.097509069,0.6721020090000001,-0.552258088,-0.018247441,-0.178384362,0.851514063,0.187325832,1.35633048,0.058306723,-0.398803843,-0.022671398,-0.268635809,-0.533476895,0.014729865,0.046900148,0.5287080829999999,0.042550217,-0.331574145,-1.191357183,0.419902737,0.032313267,0.082859921,0.075027253,-0.571263923,0.36058521,0.173062955,-0.019952214,0.140609493,-0.581354753,-0.110734807,-0.034510063,-0.211876559,0.6968886670000001,-0.045643356,0.289409512,-0.189223554,-0.288220347,0.264546245,-0.441379546,-0.038149867,1.307647782,0.29013171600000004,0.961224615,0.09998314,-0.574652736,0.39375161,1.512410545,-3.1201288860000003,0.101431253,-0.133440804,0.7022561279999999,0.075674362,-0.382274148,0.40570479,-1.136600293,-0.194253955,0.14896832699999998,0.582003266,0.47072545,0.368467127,-0.044480555,-0.10421901,0.585157932,0.080862385,0.139754134,1.3462074030000002,0.08763146599999999,0.223561001,-0.071969185
